Query ID	Predicted EC number
XP_025593155.2	EC:3.1.1.47
XP_025593172.2	EC:2.7.4.8
XP_025593181.1	EC:6.1.1.16
XP_025593192.2	EC:3.2.1.84
XP_025593196.1	EC:2.3.2.23
XP_025593216.2	EC:3.6.4.12
XP_025593216.2	EC:2.7.13.3
XP_025593222.1	EC:1.13.11.27
XP_025593230.2	EC:6.1.1.4
XP_025593274.1	EC:2.4.1.15
XP_025593285.1	EC:5.1.3.3
XP_025593324.1	EC:4.2.1.19
XP_025593325.2	EC:2.3.1.1
XP_025593325.2	EC:2.3.1.35
XP_025593328.1	EC:6.3.4.5
XP_025593335.1	EC:3.1.3.16
XP_025593336.2	EC:1.1.1.184
XP_025593350.1	EC:4.2.2.23
XP_025593396.1	EC:1.11.1.9
XP_025593410.1	EC:2.4.2.10
XP_025593431.1	EC:3.4.21.53
XP_025593433.1	EC:1.14.19.1
XP_025593457.1	EC:2.7.11.1
XP_025593486.1	EC:3.6.4.12
XP_025593515.1	EC:1.2.1.12
XP_025593518.1	EC:3.6.4.12
XP_025593554.1	EC:2.1.2.1
XP_025593561.1	EC:3.1.3.48
XP_025593592.1	EC:2.7.11.1
XP_025593605.1	EC:2.1.1.221
XP_025593609.1	EC:2.8.3.5
XP_025593655.2	EC:2.7.11.24
XP_025593666.1	EC:3.6.4.12
XP_025593666.1	EC:3.6.4.13
XP_025593683.1	EC:6.3.5.7
XP_025593714.2	EC:6.1.1.5
XP_025593726.1	EC:2.5.1.39
XP_025593731.1	EC:2.7.4.3
XP_025593733.1	EC:1.3.3.3
XP_025593737.1	EC:4.2.1.20
XP_025593752.1	EC:3.6.4.13
XP_025593765.2	EC:3.6.4.12
XP_025593775.2	EC:4.4.1.22
XP_025593789.1	EC:3.6.4.13
XP_025593797.1	EC:6.1.1.12
XP_025593797.1	EC:6.1.1.22
XP_025593806.1	EC:2.3.2.23
XP_025593828.1	EC:2.1.1.14
XP_025593863.1	EC:1.1.1.1
XP_025593893.2	EC:6.2.1.5
XP_025593908.2	EC:3.6.4.13
XP_025593943.1	EC:1.5.1.7
XP_025593954.1	EC:3.5.2.5
XP_025593959.1	EC:3.2.1.14
XP_025593991.1	EC:3.5.3.1
XP_025594026.1	EC:3.2.1.4
XP_025594038.1	EC:3.2.1.89
XP_025594040.2	EC:3.1.1.72
XP_025594050.1	EC:3.2.1.15
XP_025594059.1	EC:2.7.4.8
XP_025594060.1	EC:1.1.3.9
XP_025594073.1	EC:3.2.1.78
XP_025594088.1	EC:1.14.13.70
XP_025594098.2	EC:4.2.2.2
XP_025594123.1	EC:3.2.1.21
XP_025594154.1	EC:2.6.1.1
XP_025594170.1	EC:2.7.7.6
XP_025594222.1	EC:3.2.1.4
XP_025594229.1	EC:3.1.27.3
XP_025594230.1	EC:3.2.1.17
XP_025594254.2	EC:2.7.4.8
XP_025594343.2	EC:1.1.1.100
XP_025594378.2	EC:3.4.19.12
XP_025594389.1	EC:3.2.1.3
XP_025594405.1	EC:3.2.1.8
XP_025594414.1	EC:4.2.1.17
XP_025594515.1	EC:1.10.3.2
XP_025594584.1	EC:3.2.1.8
XP_065463031.1	EC:2.7.11.23
XP_065463033.1	EC:2.7.2.4
XP_065463044.1	EC:3.1.3.1
XP_065463095.1	EC:3.6.4.12
XP_065463170.1	EC:3.5.1.4
XP_065463174.1	EC:3.1.1.5
XP_065463226.1	EC:5.1.3.2
XP_065463236.1	EC:2.3.2.27
XP_065463245.1	EC:2.3.1.31
XP_065463251.1	EC:3.6.4.6
XP_065463253.1	EC:2.7.7.6
XP_065463264.1	EC:2.1.1.297
XP_065463266.1	EC:6.5.1.1
XP_065463288.1	EC:6.2.1.3
XP_065463288.1	EC:6.1.1.5
XP_065463296.1	EC:3.6.4.13
XP_065463314.1	EC:1.10.2.2
XP_065463325.1	EC:1.6.99.3
XP_065463325.1	EC:1.6.5.3
XP_065463326.1	EC:2.7.13.3
XP_065463350.1	EC:2.1.1.17
XP_065463409.1	EC:2.7.4.6
XP_065463415.1	EC:3.1.26.5
XP_065463417.1	EC:2.3.2.27
XP_065463436.1	EC:3.6.4.13
XP_065463450.1	EC:3.4.25.1
XP_065463472.1	EC:2.1.3.3
XP_065463501.1	EC:2.7.11.1
XP_065463507.1	EC:3.2.1.14
XP_065463510.1	EC:2.6.1.1
XP_065463516.1	EC:3.4.23.25
XP_065463546.1	EC:4.2.1.36
XP_065463556.1	EC:3.2.1.8
XP_065463565.1	EC:6.2.1.3
XP_065463589.1	EC:4.2.2.2
XP_065463611.1	EC:2.7.7.48
XP_065463619.1	EC:2.3.2.27
XP_065463732.1	EC:3.2.1.8
XP_065463733.1	EC:1.13.11.5
XP_065463754.1	EC:2.3.2.27
XP_065463756.1	EC:4.1.3.27
XP_065463798.1	EC:1.2.1.16
XP_065463806.1	EC:2.7.11.1
XP_065463806.1	EC:2.7.11.25
XP_065463833.1	EC:3.4.25.1
XP_065463836.1	EC:4.6.1.17
XP_065463838.1	EC:3.4.19.12
XP_065463845.1	EC:2.7.11.24
XP_065463849.1	EC:2.7.2.11
XP_065463851.1	EC:3.6.4.13
XP_065463861.1	EC:3.6.3.14
XP_065463882.1	EC:3.1.1.3
XP_065463900.1	EC:2.7.1.23
XP_065463933.1	EC:3.6.4.13
XP_065463942.1	EC:4.2.1.17
XP_065463953.1	EC:5.3.1.16
XP_065463967.1	EC:1.3.5.1
XP_065463973.1	EC:3.1.3.16
XP_065463976.1	EC:2.7.11.23
XP_065463984.1	EC:4.2.1.104
XP_065463985.1	EC:2.7.4.3
XP_065463996.1	EC:3.6.3.44
XP_065463999.1	EC:1.1.3.13
XP_065464022.1	EC:6.2.1.3
XP_065464024.1	EC:2.3.2.27
XP_065464037.1	EC:3.2.1.14
XP_065464050.1	EC:2.1.1.197
XP_065464073.1	EC:3.6.4.12
XP_065464079.1	EC:6.3.4.2
XP_065464097.1	EC:3.4.19.12
XP_065464115.1	EC:1.6.2.4
XP_065464127.1	EC:3.6.4.13
XP_065464158.1	EC:5.4.99.5
XP_065464184.1	EC:2.3.1.16
XP_065464189.1	EC:2.7.11.1
XP_065464193.1	EC:2.7.7.4
XP_065464193.1	EC:2.7.7.1
XP_065464231.1	EC:3.5.1.4
XP_065464237.1	EC:2.3.2.23
XP_065464243.1	EC:2.3.3.10
XP_065464245.1	EC:4.2.1.68
XP_065464257.1	EC:3.6.1.31
XP_065464259.1	EC:2.3.2.27
XP_065464260.1	EC:2.3.2.27
XP_065464296.1	EC:2.3.2.27
XP_065464367.1	EC:1.1.1.100
XP_065464402.1	EC:4.2.2.2
XP_065464437.1	EC:3.5.5.1
XP_065464462.1	EC:4.2.1.2
XP_065464483.1	EC:2.5.1.129
XP_065464496.1	EC:3.1.1.1
XP_065464576.1	EC:2.8.1.12
XP_065464584.1	EC:4.1.1.49
XP_065464597.1	EC:2.7.7.48
XP_065464597.1	EC:3.6.4.12
XP_065464609.1	EC:1.15.1.1
XP_065464610.1	EC:2.2.1.2
XP_065464619.1	EC:6.1.1.6
XP_065464657.1	EC:3.1.3.99
XP_065464663.1	EC:2.1.1.43
XP_065464665.1	EC:3.4.19.12
XP_065464717.1	EC:1.11.1.21
XP_065464812.1	EC:2.1.1.114
XP_065464814.1	EC:3.5.1.4
XP_065464848.1	EC:3.6.4.13
XP_065464857.1	EC:3.2.1.21
XP_065464863.1	EC:3.2.1.14
XP_065464929.1	EC:2.1.1.79
XP_065464932.1	EC:3.5.1.4
XP_065464940.1	EC:2.3.3.14
XP_065464941.1	EC:3.6.4.13
XP_065464946.1	EC:1.1.1.26
XP_065464984.1	EC:3.6.3.41
XP_065465012.1	EC:3.6.3.14
XP_065465026.1	EC:2.7.11.1
XP_065465037.1	EC:3.1.1.11
XP_065465049.1	EC:3.5.4.25
XP_065465164.1	EC:2.3.2.27
XP_065465166.1	EC:2.3.2.27
XP_065465180.1	EC:1.2.1.24
XP_065465214.1	EC:3.6.3.44
XP_065465214.1	EC:3.6.3.43
XP_065465261.1	EC:1.2.1.3
XP_065465278.1	EC:6.3.4.4
XP_065465304.1	EC:3.1.1.3
XP_065465310.1	EC:4.4.1.17
XP_065465314.1	EC:3.2.1.8
XP_065465320.1	EC:2.7.11.1
XP_065465324.1	EC:6.3.5.2
XP_065465337.1	EC:1.5.1.5
XP_065465337.1	EC:6.3.4.3
XP_065465394.1	EC:2.2.1.1
XP_065465451.1	EC:2.7.7.48
XP_065465464.1	EC:6.1.1.2
XP_065465496.1	EC:3.1.3.77
XP_065465502.1	EC:1.1.1.37
XP_065465525.1	EC:3.6.3.8
XP_065465537.1	EC:3.1.1.74
XP_065465544.1	EC:3.6.4.13
XP_065465577.1	EC:3.6.4.12
XP_065465594.1	EC:3.4.21.92
XP_065465614.1	EC:6.3.4.5
XP_065465618.1	EC:6.2.1.3
XP_065465618.1	EC:2.7.7.48
XP_065465618.1	EC:6.1.1.5
XP_065465623.1	EC:3.6.4.13
XP_065465628.1	EC:3.6.4.12
XP_065465650.1	EC:3.2.1.22
XP_065465659.1	EC:3.2.1.8
XP_065465706.1	EC:2.3.2.27
XP_065465712.1	EC:3.1.3.16
XP_065465727.1	EC:1.6.5.2
XP_065465748.1	EC:3.6.5.5
XP_065465756.1	EC:2.7.2.1
XP_065465760.1	EC:1.1.1.49
XP_065465771.1	EC:2.1.1.228
XP_065465775.1	EC:3.4.19.12
XP_065465784.1	EC:2.6.1.16
XP_065465786.1	EC:3.6.3.8
XP_065465788.1	EC:3.1.13.1
XP_065465797.1	EC:3.6.1.10
XP_065465800.1	EC:1.1.1.44
XP_065465801.1	EC:2.2.1.6
XP_065465811.1	EC:2.7.11.1
XP_065465813.1	EC:5.2.1.8
XP_065465815.1	EC:3.6.4.12
XP_065465816.1	EC:3.6.4.13
XP_065465851.1	EC:2.7.7.79
XP_065465852.1	EC:3.6.1.23
XP_065465881.1	EC:2.7.11.1
XP_065465881.1	EC:2.7.11.17
XP_065465882.1	EC:3.5.1.98
XP_065465890.1	EC:3.5.1.5
XP_065465897.1	EC:2.3.2.27
XP_065465904.1	EC:6.3.2.17
XP_065465946.1	EC:2.7.11.1
XP_065465977.1	EC:2.7.11.17
XP_065465981.1	EC:5.2.1.8
XP_065466033.1	EC:2.7.7.48
XP_065466044.1	EC:1.10.3.2
XP_065466120.1	EC:3.2.1.21
XP_065466127.1	EC:3.2.1.22
XP_065466138.1	EC:2.1.1.77
XP_065466141.1	EC:6.2.1.3
XP_065466141.1	EC:6.1.1.5
XP_065466141.1	EC:3.6.4.12
XP_065466154.1	EC:3.1.1.1
XP_025580819.1	EC:1.14.13.63
XP_025582108.1	EC:4.2.3.154
XP_025582221.1	EC:3.4.23.22
XP_025582456.1	EC:1.1.1.117
XP_025582500.2	EC:2.4.1.34
XP_025582724.1	EC:6.2.1.45
XP_025582731.1	EC:3.6.3.9
XP_025582771.1	EC:1.1.1.n12
XP_025582956.2	EC:5.5.1.5
XP_025583352.2	EC:3.4.19.14
XP_025583396.2	EC:1.1.3.38
XP_025583461.1	EC:4.1.1.46
XP_025583709.1	EC:3.4.21.64
XP_025583757.1	EC:1.1.1.353
XP_025583844.1	EC:1.14.13.12
XP_025584283.1	EC:5.5.1.5
XP_025584402.1	EC:1.3.99.12
XP_025584498.1	EC:3.6.3.1
XP_025584915.2	EC:1.1.1.365
XP_025585064.1	EC:1.5.3.7
XP_025585156.1	EC:3.4.21.48
XP_025585263.1	EC:1.3.99.30
XP_025585578.1	EC:1.13.11.60
XP_025585676.1	EC:1.5.3.19
XP_025585927.1	EC:1.1.1.381
XP_025585949.1	EC:1.13.11.60
XP_025585970.2	EC:1.14.19.41
XP_025586544.1	EC:1.2.1.97
XP_025586580.2	EC:1.1.1.372
XP_025586622.2	EC:1.1.1.381
XP_025586663.1	EC:2.1.1.290
XP_025587304.1	EC:3.5.5.5
XP_025587519.1	EC:1.2.1.31
XP_025587706.1	EC:1.5.1.8
XP_025588704.1	EC:6.3.4.16
XP_025588956.2	EC:1.4.7.1
XP_025589049.1	EC:1.1.1.263
XP_025589092.1	EC:1.17.3.2
XP_025589356.1	EC:1.1.1.353
XP_025589526.2	EC:1.14.19.41
XP_025589884.1	EC:1.4.3.22
XP_025589912.1	EC:3.2.1.165
XP_025590495.2	EC:3.4.13.20
XP_025590570.1	EC:1.2.1.82
XP_025590642.1	EC:1.1.1.289
XP_025590847.1	EC:3.5.2.9
XP_025591402.1	EC:3.1.1.20
XP_025591471.1	EC:4.2.1.69
XP_025591871.1	EC:3.1.1.86
XP_025591945.1	EC:3.5.2.9
XP_025592396.1	EC:4.2.1.76
XP_025592570.1	EC:2.3.1.38
XP_025592571.2	EC:2.3.1.86
XP_025592777.1	EC:3.6.3.1
XP_025592802.1	EC:4.1.2.54
XP_025593646.1	EC:2.3.1.256
XP_025593867.1	EC:3.4.19.14
XP_025593953.1	EC:2.5.1.82
XP_025593984.2	EC:1.13.11.60
XP_025594259.1	EC:3.2.1.155
XP_065463150.1	EC:3.2.1.105
XP_065463244.1	EC:1.14.99.51
XP_065463425.1	EC:1.2.1.31
XP_065463906.1	EC:5.1.1.17
XP_065464175.1	EC:1.4.3.22
XP_065464340.1	EC:3.6.3.7
XP_065465044.1	EC:2.4.1.231
XP_065465179.1	EC:1.2.1.62
